[20260820_16:43:48_529]#1986384 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:48_530]#1986386 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0023 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:50_246]#1989710 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000018,3,1,36,1,1984755,1989710,4955
[20260820_16:43:50_249]#1989714 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000001,3,1,39,1,1985311,1989714,4403
[20260820_16:43:50_585]#1989743 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000019,3,1,37,1,1985205,1989743,4538
[20260820_16:43:50_588]#1989746 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011101000020,3,1,38,1,1985264,1989746,4482
[20260820_16:43:50_818]#1989778 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:50_819]#1989780 | info | nwk.c (349)| aps tx retry_cnt 0 dst 005a link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:51_167]#1989811 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:51_167]#1989812 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0063 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:51_517]#1989840 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:51_518]#1989842 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:51_852]#1989871 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:51_852]#1989872 | info | nwk.c (349)| aps tx retry_cnt 0 dst 007a link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:51_859]#1990496 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000003,3,1,41,1,1986212,1990496,4284
[20260820_16:43:52_201]#1990555 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:52_201]#1990556 | info | nwk.c (349)| aps tx retry_cnt 0 dst 002e link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:52_211]#1990626 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000004,3,1,42,1,1986335,1990626,4291
[20260820_16:43:52_542]#1990679 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000005,3,1,43,1,1986382,1990679,4297
[20260820_16:43:52_878]#1990686 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:52_878]#1990689 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0059 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:52_894]#1990734 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:52_900]#1990735 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0069 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:53_224]#1991198 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000002,3,1,40,1,1985354,1991198,5844
[20260820_16:43:53_400]#1991256 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:53_400]#1991259 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:54_667]#1994182 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000006,3,1,44,1,1989775,1994182,4407
[20260820_16:43:54_671]#1994195 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000007,3,1,45,1,1989809,1994195,4386
[20260820_16:43:55_007]#1994219 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000009,3,1,47,1,1989867,1994219,4352
[20260820_16:43:55_158]#1994246 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:55_158]#1994248 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0002 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:55_506]#1994280 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:55_508]#1994281 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0022 link hplc txType 0 bakRt 0 0000 0000 packs=0
[20260820_16:43:55_844]#1994308 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:55_845]#1994310 | info | nwk.c (349)| aps tx retry_cnt 0 dst 000e link hplc txType 0 bakRt 0 0000 0000 packs=1
[20260820_16:43:55_853]#1994846 | info | aps_transdata_state.c (956)| recv,ApsReadRecord,2,011401000010,3,1,48,1,1990553,1994846,4293
[20260820_16:43:56_195]#1994904 | info | nwk.c (255)| aps tx dst=
[20260820_16:43:56_195]#1994905 | info | nwk.c (349)| aps tx retry_cnt 0 dst 0012 link hplc txType 0 bakRt 0 0000 0000 packs=0
